component_id,stable_key,minimum_vertex_index,maximum_vertex_index,vertex_count,edge_count,face_count,triangle_count,surface_area_local,geometric_side_provisional,local_centroid_x,local_centroid_y,local_centroid_z,local_minimum_x,local_minimum_y,local_minimum_z,local_maximum_x,local_maximum_y,local_maximum_z,local_dimension_x,local_dimension_y,local_dimension_z,world_centroid_x,world_centroid_y,world_centroid_z,world_minimum_x,world_minimum_y,world_minimum_z,world_maximum_x,world_maximum_y,world_maximum_z,world_dimension_x,world_dimension_y,world_dimension_z,weighted_vertices,unweighted_vertices,average_influences_per_vertex,maximum_influences_per_vertex,vertices_over_4_influences,non_normalized_weight_vertices,total_assigned_weight,average_assigned_weight_per_vertex,left_group_weight_sum,right_group_weight_sum,center_group_weight_sum,cross_side_weight_ratio,dominant_groups,technical_flags,semantic_name,region,material_family,deformation_type,risk_level,action,evidence,target_parent,notes,contextual_image_file,context_views,detail_visual_scale_factor,semantic_classification_status
0,C000-V000000,0,61993,5639,16542,10896,10896,0.155678801,CENTER,0.163888461,0.217114859,0.649556858,-0.027011788,0.050238259,0.472366512,0.432714492,0.305789858,0.839448512,0.459726280,0.255551599,0.367082000,0.163888461,0.217114859,0.649556858,-0.027011788,0.050238259,0.472366512,0.432714492,0.305789858,0.839448512,0.459726280,0.255551599,0.367082000,5639,0,3.768221316,4,0,0,5639.000004080,1.000000001,2558.059565863,0.000000000,3080.940438217,,head:2354.746516|clavicle.L:1641.841698|upper_arm.L:916.217868|neck:392.055836|chest:242.070202|spine_02:92.067884,CROSSES_CENTER_PLANE,,,,,,,,,,images/C000-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,5.329258101,PENDING
1,C001-V000001,1,10783,1016,2918,1902,1902,0.027323289,CENTER,-0.064027666,0.267080687,0.565011282,-0.144949391,0.223757401,0.468307137,0.006415352,0.304515064,0.676253498,0.151364744,0.080757663,0.207946360,-0.064027666,0.267080687,0.565011282,-0.144949391,0.223757401,0.468307137,0.006415352,0.304515064,0.676253498,0.151364744,0.080757663,0.207946360,1016,0,3.194881890,4,0,0,1015.999999754,1.000000000,0.000000000,320.333134472,695.666865282,,head:486.994793|clavicle.R:320.333134|neck:106.357071|chest:73.669575|spine_02:28.645426,CROSSES_CENTER_PLANE,,,,,,,,,,images/C001-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,11.781884514,PENDING
2,C002-V000069,69,33312,2664,7751,5083,5083,0.065574276,RIGHT,-0.118634614,0.209846889,0.749935659,-0.231355205,0.119079329,0.605889142,-0.005513208,0.303894162,0.833298504,0.225841998,0.184814833,0.227409363,-0.118634614,0.209846889,0.749935659,-0.231355205,0.119079329,0.605889142,-0.005513208,0.303894162,0.833298504,0.225841998,0.184814833,0.227409363,2664,0,2.000000000,2,0,0,2664.000002615,1.000000001,0.000000000,0.000000000,2664.000002615,0.000000000,head:2344.179620|neck:319.820383,,,,,,,,,,,images/C002-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,10.773522998,PENDING
3,C003-V002278,2278,107570,11724,34610,22878,22878,0.322602899,CENTER,0.272940698,0.141446717,0.256298736,-0.012881044,-0.071325697,-0.013443111,0.507391036,0.260520786,0.505143464,0.520272080,0.331846483,0.518586575,0.272940698,0.141446717,0.256298736,-0.012881044,-0.071325697,-0.013443111,0.507391036,0.260520786,0.505143464,0.520272080,0.331846483,0.518586575,11724,0,2.556891846,4,0,0,11723.999997552,1.000000000,4640.143460452,0.000000000,7083.856537101,,upper_arm.L:3560.307967|spine_02:3555.856382|chest:3528.000155|forearm.L:882.167407|clavicle.L:197.668086,CROSSES_CENTER_PLANE|VERY_LARGE_COMPONENT,,,,,,,,,,images/C003-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,4.709074530,PENDING
4,C004-V002555,2555,64755,5100,14955,9856,9856,0.160533544,CENTER,-0.161663534,0.202177312,0.207811761,-0.296647251,0.042265017,-0.013784860,0.004071420,0.259713948,0.476658881,0.300718671,0.217448931,0.490443741,-0.161663534,0.202177312,0.207811761,-0.296647251,0.042265017,-0.013784860,0.004071420,0.259713948,0.476658881,0.300718671,0.217448931,0.490443741,5100,0,2.212352941,4,0,0,5100.000000813,1.000000000,0.000000000,49.197853991,5050.802146822,,spine_02:3005.916606|chest:2044.885540|clavicle.R:44.248128|upper_arm.R:4.949726,CROSSES_CENTER_PLANE,,,,,,,,,,images/C004-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,4.995476128,PENDING
5,C005-V003089,3089,60408,2426,7058,4631,4631,0.066593461,RIGHT,-0.278175803,0.172436641,0.561997821,-0.430775762,0.055956174,0.463190883,-0.117225617,0.259057045,0.681612551,0.313550144,0.203100871,0.218421668,-0.278175803,0.172436641,0.561997821,-0.430775762,0.055956174,0.463190883,-0.117225617,0.259057045,0.681612551,0.313550144,0.203100871,0.218421668,2426,0,2.199917560,4,0,0,2425.999998142,0.999999999,0.000000000,2057.495624600,368.504373542,0.000000000,clavicle.R:1193.059930|upper_arm.R:864.435694|chest:265.319224|spine_02:103.185150,,,,,,,,,,,images/C005-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,7.813742215,PENDING
6,C006-V010017,10017,81851,3968,11550,7579,7579,0.116275902,CENTER,-0.126851002,0.109140273,-0.280951962,-0.313560665,-0.007041485,-0.492518395,0.004298165,0.223652497,-0.011608294,0.317858830,0.230693982,0.480910101,-0.126851002,0.109140273,-0.280951962,-0.313560665,-0.007041485,-0.492518395,0.004298165,0.223652497,-0.011608294,0.317858830,0.230693982,0.480910101,3968,0,2.903225806,4,0,0,3968.000007574,1.000000002,0.000000000,2808.650199249,1159.349808325,,thigh.R:2808.650199|spine_02:469.555189|spine_01:420.619353|pelvis:269.175267,CROSSES_CENTER_PLANE,,,,,,,,,,images/C006-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,5.094507258,PENDING
7,C007-V010972,10972,79230,4587,13437,8837,8837,0.116546810,CENTER,0.153724981,0.127383366,-0.159471729,-0.010291039,0.000781346,-0.342235297,0.313460648,0.221975744,-0.005351931,0.323751687,0.221194398,0.336883366,0.153724981,0.127383366,-0.159471729,-0.010291039,0.000781346,-0.342235297,0.313460648,0.221975744,-0.005351931,0.323751687,0.221194398,0.336883366,4587,0,3.954872466,4,0,0,4587.000001846,1.000000000,1816.182472971,0.000000000,2770.817528875,,thigh.L:1814.228970|spine_01:1662.207690|spine_02:839.015506|pelvis:269.594332|thumb_01.L:1.953503,CROSSES_CENTER_PLANE,,,,,,,,,,images/C007-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,7.272546663,PENDING
8,C008-V013520,13520,82035,1542,4450,2909,2909,0.044692100,RIGHT,-0.205853854,0.129892189,-0.119581041,-0.310141176,-0.007157200,-0.212536082,-0.105659388,0.207509950,-0.007565223,0.204481788,0.214667150,0.204970859,-0.205853854,0.129892189,-0.119581041,-0.310141176,-0.007157200,-0.212536082,-0.105659388,0.207509950,-0.007565223,0.204481788,0.214667150,0.204970859,1542,0,3.000000000,3,0,0,1541.999997761,0.999999999,0.000000000,360.907702923,1181.092294838,0.000000000,spine_01:1048.648907|thigh.R:360.907703|spine_02:132.443388,,,,,,,,,,,images/C008-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,11.413017766,PENDING
9,C009-V014026,14026,35078,538,1506,966,966,0.009341950,CENTER,0.070470637,0.149214243,0.817161787,-0.000468627,0.113995105,0.790040076,0.139593199,0.209844485,0.835691154,0.140061826,0.095849380,0.045651078,0.070470637,0.149214243,0.817161787,-0.000468627,0.113995105,0.790040076,0.139593199,0.209844485,0.835691154,0.140061826,0.095849380,0.045651078,538,0,2.000000000,2,0,0,537.999998793,0.999999998,0.000000000,0.000000000,537.999998793,,head:418.252522|neck:119.747477,CROSSES_CENTER_PLANE,,,,,,,,,,images/C009-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,17.492275117,PENDING
10,C010-V016641,16641,83892,3842,11239,7398,7398,0.096193739,RIGHT,-0.375176332,0.104326588,0.314542901,-0.477860570,-0.013342939,0.140733063,-0.232166082,0.189498633,0.479931355,0.245694488,0.202841572,0.339198291,-0.375176332,0.104326588,0.314542901,-0.477860570,-0.013342939,0.140733063,-0.232166082,0.189498633,0.479931355,0.245694488,0.202841572,0.339198291,3842,0,2.600989068,4,0,0,3842.000001102,1.000000000,0.000000000,2857.524651808,984.475349294,0.000000000,upper_arm.R:2507.667892|chest:754.598932|forearm.R:233.334302|spine_02:229.876417|clavicle.R:116.522459,,,,,,,,,,,images/C010-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,7.222913743,PENDING
11,C011-V018149,18149,143466,4015,11701,7678,7678,0.100262633,LEFT,0.257338433,0.022844828,0.668649645,0.094086036,-0.136887595,0.495148033,0.432485521,0.183198556,0.837360859,0.338399485,0.320086151,0.342212826,0.257338433,0.022844828,0.668649645,0.094086036,-0.136887595,0.495148033,0.432485521,0.183198556,0.837360859,0.338399485,0.320086151,0.342212826,4015,0,3.110834371,4,0,0,4015.000001420,1.000000000,2854.854665131,0.000000000,1160.145336289,0.000000000,clavicle.L:1564.161203|upper_arm.L:1290.693462|head:993.527701|neck:97.720775|chest:49.608348|spine_02:19.288512,,,,,,,,,,,images/C011-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,7.159287478,PENDING
12,C012-V022173,22173,115431,2304,6617,4308,4308,0.052075084,RIGHT,-0.234382120,0.044439601,0.703909902,-0.377810866,-0.087269589,0.594934762,-0.094614066,0.160757989,0.824057817,0.283196799,0.248027578,0.229123056,-0.234382120,0.044439601,0.703909902,-0.377810866,-0.087269589,0.594934762,-0.094614066,0.160757989,0.824057817,0.283196799,0.248027578,0.229123056,2304,0,3.166232639,4,0,0,2304.000001980,1.000000001,0.000000000,1649.058188677,654.941813303,0.000000000,clavicle.R:1157.796948|head:621.020352|upper_arm.R:491.261240|neck:33.921461,,,,,,,,,,,images/C012-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,8.651227714,PENDING
