component_id,stable_key,vertex_count,face_count,centroid_x,centroid_y,centroid_z,dimension_x,dimension_y,dimension_z,maximum_dimension,dominant_groups,diagnostic_status,semantic_classification_completed
9,C009-V014026,538,966,0.069562286,0.161919802,0.812865615,0.140061826,0.095849380,0.045651078,0.140061826,head:418.252522|neck:119.747477,PENDING_REVIEW,false
13,C013-V023728,142,235,-0.005719136,0.141871855,0.818947673,0.045079120,0.030459374,0.056995332,0.056995332,head:140.521606|neck:1.478394,PENDING_REVIEW,false
14,C014-V023749,134,212,0.022780908,0.142459780,0.814062893,0.044956554,0.026235998,0.039536953,0.044956554,head:134.000000,PENDING_REVIEW,false
28,C028-V039815,130,210,-0.252910912,0.058774047,-0.028863177,0.032846987,0.083021089,0.055033818,0.083021089,spine_02:83.550515|spine_01:46.449485,PENDING_REVIEW,false
34,C034-V045953,120,190,-0.146467656,0.057701595,0.763113141,0.024045333,0.060898319,0.041177809,0.060898319,head:115.390740|clavicle.R:4.609260,PENDING_REVIEW,false
55,C055-V080937,20,21,0.296954185,-0.009063203,0.150077119,0.003287494,0.011202191,0.020451874,0.020451874,spine_02:20.000000,PENDING_REVIEW,false
57,C057-V084022,84,137,0.148665801,-0.024229106,0.719803214,0.021332741,0.035350211,0.039135098,0.039135098,clavicle.L:40.933038|head:35.795846|neck:7.271117,PENDING_REVIEW,false
66,C066-V100027,48,59,-0.372209728,-0.083427787,-0.051373210,0.021526724,0.056709155,0.019075394,0.056709155,forearm.R:48.000000,PENDING_REVIEW,false
69,C069-V103352,65,95,-0.342865705,-0.076310463,-0.097690150,0.026842922,0.019431442,0.023731291,0.026842922,thumb_01.R:65.000000,PENDING_REVIEW,false
70,C070-V105074,52,82,-0.334042549,-0.078158088,-0.103967443,0.019247025,0.017424747,0.018497579,0.019247025,thumb_01.R:52.000000,PENDING_REVIEW,false
74,C074-V108810,24,30,-0.336068749,-0.080352753,-0.098519228,0.015750557,0.011651419,0.021543235,0.021543235,thumb_01.R:24.000000,PENDING_REVIEW,false
