object_name,mesh_name,collection,region,component_count,component_labels,vertex_count,edge_count,face_count,vertex_group_count,modifier_count
R2_Head_Face,R2_Head_Face_Mesh,R2_HEAD,FACE,1,C086,3697,10806,7086,50,1
R2_Head_Fur,R2_Head_Fur_Mesh,R2_HEAD,HEAD_NECK_FUR,14,"C009,C013,C014,C015,C018,C020,C024,C034,C054,C057,C065,C085,C093,C094",18673,53788,35015,50,1
R2_Hood,R2_Hood_Mesh,R2_CLOTHING,HOOD,6,"C000,C001,C002,C011,C012,C052",18418,53562,35120,50,1
R2_Hoodie_Torso,R2_Hoodie_Torso_Mesh,R2_CLOTHING,HOODIE_TORSO,13,"C003,C004,C005,C028,C030,C042,C061,C068,C075,C077,C080,C104,C105",37815,110166,72344,50,1
R2_Hoodie_Sleeve_L,R2_Hoodie_Sleeve_L_Mesh,R2_CLOTHING,SLEEVE_LEFT,3,"C045,C046,C047",7290,21137,13841,50,1
R2_Hoodie_Sleeve_R,R2_Hoodie_Sleeve_R_Mesh,R2_CLOTHING,SLEEVE_RIGHT,5,"C010,C031,C035,C036,C049",14274,41548,27266,50,1
R2_Pants,R2_Pants_Mesh,R2_CLOTHING,PANTS,18,"C006,C007,C008,C019,C023,C026,C027,C029,C032,C033,C037,C038,C039,C044,C048,C051,C064,C076",54599,158981,104307,50,1
R2_Hand_L,R2_Hand_L_Mesh,R2_BODY_PARTS,HAND_LEFT,9,"C050,C059,C079,C081,C087,C095,C096,C100,C103",9586,27603,17980,50,1
R2_Hand_R,R2_Hand_R_Mesh,R2_BODY_PARTS,HAND_RIGHT,14,"C053,C058,C062,C063,C066,C069,C070,C074,C078,C082,C089,C091,C097,C098",10588,30467,19837,50,1
R2_Arm_Fur_R,R2_Arm_Fur_R_Mesh,R2_BODY_PARTS,ARM_FUR_RIGHT,1,C067,137,354,218,50,1
R2_Shoe_L,R2_Shoe_L_Mesh,R2_FOOTWEAR,SHOE_LEFT,3,"C021,C022,C073",11144,32577,21399,50,1
R2_Shoe_R,R2_Shoe_R_Mesh,R2_FOOTWEAR,SHOE_RIGHT,2,"C016,C017",10911,32014,21071,50,1
R2_Hood_Cord_L,R2_Hood_Cord_L_Mesh,R2_ACCESSORIES,HOOD_ACCESSORY_LEFT,2,"C107,C109",162,425,265,50,1
R2_Hood_Cord_R,R2_Hood_Cord_R_Mesh,R2_ACCESSORIES,HOOD_ACCESSORY_RIGHT,2,"C106,C108",132,339,208,50,1
